Investor,RemunerationPolicy
Rathbones Investment Management,"**Rathbones Investment Management Voting Policy on Remuneration**

- **General Approach:** Executive remuneration should be aligned with best practice guidelines to ensure long-term outperformance and shareholder value creation. All pay elements must have discipline, focus, and transparency.

- **Salary Caps and Bonuses:** Increases to base salary must be justified and in shareholders’ best interests; benchmarking increases are discouraged. Support is more likely for variable pay arrangements based on meeting clear targets rather than time served. Oppose discretionary payments (e.g., share options, bonuses) to non-executive directors beyond normal responsibilities.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned.

- **Performance Alignment:** Remuneration committees must disclose chosen performance measures, their measurement methods, and weightings. Majority of pay should be based on meeting clear targets. Support pay reward when business outperformance is attributable to management quality. Investment companies should have no performance-related element in the investment manager’s fee for conventional long-only equity companies.

- **Clawbacks:** Not mentioned.

- **ESG-Based Remuneration:** May support shareholder proposals to link an ESG measure to executive remuneration.

- **Voting Considerations:**
  - Remuneration Committees should be composed entirely of independent directors with sufficient expertise.
  - Oppose re-election of Remuneration Committee Chairs if pay concerns persist or after two successive years of shareholder revolts.
  - Target Chair re-election if >25% voted against remuneration report/policy and company fails to address concerns.

- **In summary:** Rathbones prioritizes transparent, performance-aligned executive remuneration governed by independent committees to ensure long-term shareholder value and responsiveness to shareholder concerns."
"RBC Indigo (fka HSBC Canada), Inc","**RBC Global Asset Management, Inc Voting Policy on Remuneration**

- **General Approach:** Compensation plans should align long-term interests of investors and management, be sufficiently generous to attract and retain talent, but be commensurate with performance. Plans must be developed and maintained by the compensation committee.

- **Salary Caps and Bonuses:** Not mentioned.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:**  
  - Preference for stock ownership rather than stock options, with a reduction in option use.  
  - Support stock options with strike price above current share price and appropriate terms.  
  - Oppose evergreen plans, repricing, reissuing below original strike price, backdating, spring loading, bullet dodging, 100% immediate vesting, pyramiding, gross-ups, automated acceleration.  
  - Oppose plan amendments if total dilution exceeds 10% or annual dilution exceeds 1% (3-year average).  
  - Oppose plans allocating 25%+ of awards to any one individual.  
  - Oppose broad discretion to set terms and conditions and reloading of options.  
  - Oppose plans allowing hedging of equity exposure.  
- **Performance Alignment:**  
  - Support plans linking equity award grant/vesting to performance targets.  
  - Support simplified compensation structures featuring competitive base salary, annual performance incentives, and LTIP time-vesting RSUs with vesting over 5+ years.  
  - Expect executives to hold substantial equity compensation during and after employment.  
  - Support disclosure of performance criteria and whether criteria were met.  
  - May support linking executive compensation to goals beyond traditional financial metrics if these improve long-term performance.  
  - Opposition to plans lacking adequate equity retention, inadequate clawbacks, excessive special awards, front-loaded or mega grants without robust performance conditions, or overly complex and discretionary plans.  
- **Clawbacks:** Present; support claw-back provisions triggered by fraud, financial restatement, or inappropriate compensation payment.

- **ESG-Based Remuneration:** May consider supporting proposals linking compensation to ESG-related goals that improve long-term company performance. May oppose director elections due to material governance failures including inadequate ESG risk oversight.

- **Voting Considerations:**  
  - Alignment of pay with long-term sustainable performance and clear disclosure of performance metrics.  
  - Reasonableness of overall compensation relative to peers, employee base, and company performance.  
  - Avoidance of excessive discretion or complexity in compensation plans that misalign pay and performance.  

- **In summary:** RBC GAM supports remuneration practices that align executive incentives with long-term, sustainable shareholder value, emphasize transparency and performance linkage, and oppose excessive, misaligned, or poorly disclosed pay practices."
River and Mercantile Asset Management,"**River and Mercantile Asset Management Voting Policy on Remuneration**

- **General Approach:** Executive remuneration should not be excessive, be directly related to company success, incentivize durable shareholder value, and align with business strategy and KPIs, including sustainability factors where relevant.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs should be put to shareholders for approval including material changes; no payment for failure; performance targets must be stretching and measured over an appropriate period; awards should vest over no less than three years on a phased basis; maximum dilution under all share option schemes should not exceed 10% in any 10-year period with 5% in any rolling 10-year period on discretionary schemes; companies should prohibit hedging of incentives and alienation under plan rules.

- **Performance Alignment:** Performance-related remuneration must be linked to rigorous and relevant targets aligned to strategy; both short and long-term variable pay should incorporate financial and non-financial (including sustainability) performance criteria; recipients must have line of sight between performance and reward; performance should be assessed relative to peers and over appropriate timeframes; directors are expected to maintain meaningful shareholdings; remuneration systems must genuinely incentivize long-term shareholder value.

- **Clawbacks:** Present; remuneration committees should retain discretion to reduce or reclaim payments if performance achievements were subsequently found to be misstated, erroneous, fraudulent, or manipulated.

- **ESG-Based Remuneration:** Supported; non-financial KPIs linked to environmental and social metrics are encouraged within remuneration policies; sustainability factors should have proper metrics and increasingly challenging targets; ESG issues incorporated in company analysis and remuneration alignment endorsed.

- **Voting Considerations:**
  - Support for remuneration reports depends on adequacy of disclosure, alignment with shareholder interests, and rigorous performance criteria.
  - Vote against remuneration reports and/or remuneration committee members if disclosure is inadequate or policies misaligned with shareholder interests.
  - Abstain or withhold support if executive remuneration involves inappropriate severance or payment for failure.

- **In summary:** RAMAM expects transparent, performance-aligned, and sustainable remuneration policies that incentivize long-term shareholder value while incorporating robust disclosure and clawback mechanisms."
Royal London Asset Management,"**Royal London Asset Management Voting Policy on Remuneration**

- **General Approach:** Executive remuneration should promote the long-term success of the company with pay practices that are fair, robust, transparent, straightforward, and aligned to long-term value creation while mitigating excessive risk-taking. Remuneration Committees must tailor pay to company circumstances.

- **Salary Caps and Bonuses:** Not mentioned explicitly, but Royal London may vote against remuneration policies with unjustified increases to maximum pay or bonuses awarded without reference to performance targets.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:**  
  - Maximum dilution: No more than 10% of equity over ten years for all schemes, with a maximum of 5% for discretionary schemes.  
  - No support for plans with repricing provisions.  
  - No automatic vesting on change of control or early vesting on severance.  
  - Minimum three-year vesting periods expected; less than three years generally opposed.  
  - Expect marginal vesting (0-25%) for threshold performance and full vesting only for outstanding performance.  
  - Board-approved exceptions considered case-by-case.  
  - In Japan, no re-pricing and no performance-based incentives to outside directors or auditors.

- **Performance Alignment:**  
  - Remuneration should be tied to long-term value creation with challenging and meaningful performance conditions and KPIs, including material environmental, social, and sustainability-related measures where appropriate.  
  - Minimum performance period: three years (longer encouraged).  
  - Executive shareholding requirements should be material.  
  - Holding periods post-vesting encouraged (e.g., two years).  
  - Only modest awards to non-executive directors, not linked to company performance.

- **Clawbacks:**  
  - Support the use of clawback policies to recoup remuneration already paid to executive directors.  
  - Absence or insufficiency of clawback/malus provisions is a reason to vote against remuneration policy.

- **ESG-Based Remuneration:**  
  - Encourage incorporation of material environmental, social, and sustainability-related performance measures linked to verifiable KPIs in remuneration structures where appropriate.

- **Voting Considerations:**  
  - Alignment of remuneration with long-term shareholder value and company performance.  
  - Transparency and disclosure of incentives and performance conditions.  
  - Independence and competence of the Remuneration Committee.

- **In summary:** Royal London Asset Management supports remuneration policies that are transparent, performance-linked with robust governance, aligned with long-term value creation, and incorporate ESG factors where appropriate, with strong oversight and appropriate clawback mechanisms."
Robeco Institutional Asset Management BV,"**Robeco Institutional Asset Management BV Voting Policy on Remuneration**

- **General Approach:** Remuneration should align the interests of the CEO, executive officers, and workforce with the company’s strategy and purpose to support long-term sustainable value creation and preservation.
- **Salary Caps and Bonuses:** Not mentioned
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned
- **Performance Alignment:** Remuneration should be designed to equitably and effectively align interests with the company’s strategy and purpose.
- **Clawbacks:** Not mentioned
- **ESG-Based Remuneration:** Not mentioned
- **Voting Considerations:**
  - Remuneration quantum should be defendable relative to social considerations relating to inequality.
  - Aggregate remuneration should be balanced with payment of dividends and capital retention for future investment.
  - Shareholder meetings should be efficiently and democratically facilitated to enable accountability for long-term strategy and sustainable value creation.
- **In summary:** Remuneration must align with long-term strategy and sustainable value creation while considering social and capital balance factors."
Russell Investment Management LLC,"**Russell Investment Management LLC Voting Policy on Remuneration**

- **General Approach:** Supports annual votes on executive remuneration to provide shareholders a regular channel to express views; expects disclosure of individual director compensation with sufficient detail for fair assessment. Encourages well-structured packages aligned with company strategy and values.

- **Salary Caps and Bonuses:** Changes in lead executive salary exceeding 10% require suitable justification to gain support. Severance payments should be reasonable and generally not exceed market practice; incentive awards must be time-pro rated and subject to performance testing including on early termination.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Encourages comprehensive LTIP disclosure including performance conditions. Prefers minimum performance duration of three years with possible post-vesting retention. Supports multiple performance metrics, including at least one relative to peers. No vesting below median relative performance. No re-testing allowed. Incentivizing stretch targets encouraged. Individual limits expressed as a percentage of base salary. Dilution levels should align with local market practices.

- **Performance Alignment:** Expects alignment of executive, workforce, and shareholders' interests with company strategy and performance. Supports clawback/malus policies and substantial management shareholding. Vesting based on relative performance with no pay below median. Stretch targets encouraged.

- **Clawbacks:** Present; endorses clawback/malus policies though no detailed triggers specified.

- **ESG-Based Remuneration:** Encourages inclusion of material ESG risks/opportunities based on company circumstances. Requires clear disclosure of rationale, target-setting, and payout opportunities related to ESG metrics. Acknowledges not all schemes are suitable for ESG metrics.

- **Voting Considerations:**
  - Annual director election promoting accountability.
  - Opposition possible for large one-off payments, inappropriate use of discretion, or poor pay-for-performance practices.
  - Non-executive directors should not receive performance-based pay, retirement benefits, or excessive perks.

- **In summary:** Russell Investments promotes transparent, performance-aligned, and reasonably capped remuneration practices with shareholder accountability and ESG considerations integrated where appropriate."
SEI Investments Management Corporation,"**SEI Investments Management Corporation Voting Policy on Remuneration**

- **General Approach:** SIMC votes proxies in the best interest of each Client, following approved Guidelines and independent Service recommendations, with discretion to overrule in certain cases after Committee review.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned

- **Performance Alignment:** Not mentioned

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Not mentioned

- **Voting Considerations:**
  - Committee may overrule proxy voting Service recommendations if no material conflict of interest and decision is in Clients’ best interests.
  - Voting may be influenced by recommendations from an Engagement Service involved with corporate accountability and reputational risk.
  - Abstentions may occur if proxy Guidelines do not cover the issue, no recommendation is available, costs outweigh benefits, securities are lent, share blocking applies, or Committee cannot convene.

- **In summary:** SIMC employs a structured proxy voting process prioritizing Client interests, uses independent and engagement vendor recommendations, and exercises oversight through its Proxy Voting Committee."
Silchester International Investors LLP,"**Silchester International Investors LLP Voting Policy on Remuneration**

- **General Approach:** Executive remuneration schemes should be simple, transparent, and modest, aligning management’s financial interests with shareholders through encouraging or requiring equity ownership.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned

- **Performance Alignment:** Remuneration plans should align financial interests of executive management with shareholders by encouraging or requiring equity ownership.

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Not mentioned

- **Voting Considerations:**
  - Opposition to approving management compensation where there is poor alignment between staff and shareholders.
  - Voting against anti-takeover mechanisms.
  - Voting against share issuance without pre-emption rights and issuances increasing share counts substantially.
  - Voting against (re)appointment of directors at businesses with poor returns and no credible improvement plan.

- **In summary:** Silchester advocates for modest, transparent executive pay aligned with shareholder interests and actively votes against poor remuneration alignment and governance practices."
Schroder Investment Management Ltd,"**Schroder Investment Management Ltd Voting Policy on Remuneration**

- **General Approach:** Executive remuneration should support long-term, sustainable business success and align with wider company remuneration policy; the remuneration committee is responsible for this alignment and must explain how remuneration promotes desired culture and mitigates unintended consequences.

- **Salary Caps and Bonuses:** Base salaries should not constitute the majority of total pay; variable pay is expected to be performance-based and paid only when the company performs well; salary increases should be merit-based, in line with wider workforce, and phased over years; new executives should typically join at lower salaries than predecessors; threshold for short-term incentive awards should not exceed 50% of total possible award, preferably lower.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs should constitute the bulk of executive pay, preferably in Performance Share Plans with at least a 3-year performance period and 2-year holding period; awards should be a percentage of salary; relative TSR should be a significant metric; alternative LTIPs require significant quantum reduction and minimum 5-year vesting; stock options should be used sparingly, not vest within 3 years, have performance conditions, and must never be repriced; no numeric dilution limits explicitly stated.

- **Performance Alignment:** LTIPs and short-term incentives should be linked to stringent, mostly financial performance metrics; ESG and strategic/personal metrics are encouraged only if clear, measurable, stretching, not too significant a portion, and backed by underpins or downward discretion; remuneration committees must explain these metric choices and associated risks; shareholding requirements expect CEO to hold 300% of salary and other executives 200%, with shares retained beyond employment.

- **Clawbacks:** Present; remuneration committees must have power and willingness to reduce pay on resignation encouraged by the board, unsatisfactory performance, or other reasons to ensure no payment for failure.

- **ESG-Based Remuneration:** Encouraged as part of variable pay if not at the expense of financial metrics; ESG metrics should be salient, measurable, and supported by underpins/downward discretion; inclusion of ESG metrics as an underpin is recommended.

- **Voting Considerations:**
  - Support for remuneration reports and policies requires alignment with long-term success, appropriate pay levels, and transparency; votes against are likely if principles are not met after engagement.
  - Consideration of pay quantum relative to peers, performance conditions, and shareholding requirements.
  - Executive pay risk management and cultural alignment explanations by remuneration committee are expected.

- **In summary:** Remuneration policies should promote long-term sustainable success, align with company culture and performance, use predominantly performance-based variable pay over salary, and incorporate robust governance and transparency safeguards."
Slater Investments,"**Slater Investments Voting Policy on Remuneration**

- **General Approach:** Slater Investments votes in the best interests of funds or clients, usually supporting management unless company actions do not align with shareholder interests. Remuneration reports and policies should be clear and concise.

- **Salary Caps and Bonuses:** Not mentioned.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** No use of nil-paid or nominal cost share options (including nil-paid or nominal cost performance share options) is permitted in the remuneration structure.

- **Performance Alignment:** Not mentioned.

- **Clawbacks:** Not mentioned.

- **ESG-Based Remuneration:** Not mentioned.

- **Voting Considerations:**
  - Remuneration policies should be clear and concise.
  - Non-Executive directors should receive only a flat fee.
  - Executive Director pension contributions should align with those of the wider company workforce.

- **In summary:** Slater Investments prioritizes clear, concise remuneration policies that exclude nil-paid/nominal cost options and support fair pension contributions and flat fees for Non-Executives."
Sarasin & Partners,"**Sarasin & Partners Voting Policy on Remuneration**

- **General Approach:** Executive remuneration should align incentives with long-term value creation; pay levels must be sufficient to attract and retain management but avoid excess; pay structures and metrics should be clearly disclosed and simple.

- **Salary Caps and Bonuses:** Executive directors should not receive unconditional or excessive transaction, termination, change in control, or recruitment bonuses without clear justification. Executive director notice or contract periods should generally not exceed two years. Pension contributions should be aligned with the general workforce. Discretionary payments outside formal schemes must be justified, valued, and disclosed.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs should be equity-based, not cash. Material executive shareholding is required and should be held until retirement plus at least one year post-departure (UK and Ireland). Vote against remuneration policies allowing LTIPs not granted in equity or where time-based awards constitute more than 50% of LTIP. Share incentive schemes must not breach 10% total dilution over ten years; vote against proposals exceeding this.

- **Performance Alignment:** Performance targets must be stretching, clearly linked to economic value creation, and through-cycle, not tied to short-term share price. No rewards for median or worse performance or societal harm (e.g., accelerating climate change). No ‘retesting’ or retroactive repricing allowed. Disclosure of metrics and targets is required; absence leads to voting against. Complexity is discouraged; more than four metrics in LTIPs triggers a vote against policy.

- **Clawbacks:** Present. Vote against remuneration policies lacking adequate clawback provisions to reclaim compensation awarded erroneously or due to short-lived value destruction (e.g., excessive risk-taking).

- **ESG-Based Remuneration:** Considered within performance alignment. Vote against remuneration policies that fail to incorporate environmental and social factors that prevent rewarding climate harm. Support adoption of ""net zero underpin"" safeguards. Abstain on policies failing ESG expectations to allow engagement; escalate to vote against if no improvement.

- **Voting Considerations:**
  - Require material executive share ownership aligned with long-term shareholders.
  - Vote against remuneration reports/policies if performance criteria are not stretching or aligned with long-term shareholder value.
  - Vote against remuneration report/policy if remuneration committee fails to respond to shareholder dissent, does not put policy/reports to annual vote, or makes substantive changes without shareholder approval.

- **In summary:** Remuneration must promote alignment with sustainable long-term shareholder value through transparent, performance-based, and appropriately constrained executive pay structures, incorporating clawbacks and ESG considerations."
State of Wisconsin Investment Board,"**State of Wisconsin Investment Board Voting Policy on Remuneration**

- **General Approach:** Assessment follows Global Principles emphasizing clear disclosure, appropriate pay structure aligned with long-term shareholder value, avoidance of ""pay for failure"" arrangements, independent and effective compensation committees, and avoidance of inappropriate pay to non-executive directors.

- **Salary Caps and Bonuses:** Termination payments must not exceed 24 months’ pay or more restrictive local provisions. Guaranteed or discretionary compensation is to be avoided. Significant pay increases require detailed, compelling disclosure.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:**  
  - Award volume must not exceed 5% of issued share capital; up to 10% allowed for high-growth or strong plans.  
  - Vesting must occur no earlier than three years after grant; performance criteria should be measurable, quantifiable, long-term oriented, and fully disclosed.  
  - Awards must be granted at market price; discounts require justification and performance criteria.  
  - Dilution limits: generally not over 5% for mature companies, 10% for growth companies.  
  - Repricing without shareholder approval and strike prices below market grant price are prohibited (exceptions for special dividends).  
  - Share matching plans for executives require holding periods and challenging performance criteria; for all employees, max 1:1 free share ratio if no performance criteria.  
  - Clawback provisions applicable to equity awards are expected. 

- **Performance Alignment:**  
  - Remuneration must link clearly to company performance including financial and non-financial metrics; ESG criteria are relevant if aligned with company objectives.  
  - Performance conditions in LTIPs must be in place and disclosed.  
  - Discretionary adjustments must be clearly defined, limited, and explained.  
  - Compensation committees should ensure variable pay balance favors long-term incentives.  
  - Pay-for-performance analyzed including peer alignment and absolute alignment over 3 to 5 years.  
  - Holding requirements post-exercise/settlement may apply (noted for S&P/TSX Composite Index).

- **Clawbacks:** Present and expected on equity awards.

- **ESG-Based Remuneration:**  
  - Compensation committees should disclose how ESG factors have been considered in determining remuneration outcomes, including workplace incidents, environmental events, regulatory fines, and legal judgments.  
  - ESG criteria can be part of variable incentives when aligned with company purpose and objectives.

- **Voting Considerations:**  
  - Clear, comprehensive compensation disclosure enabling informed shareholder decisions.  
  - Independent, effective compensation committees with no executives serving; majority independence required in some markets.  
  - Avoid problematic pay practices such as excessive inducement grants, pay for failure, pension arrangements adverse to shareholders, inappropriate non-executive director pay, or lack of responsiveness to shareholder concerns.

- **In summary:** Wisconsin applies rigorous, principle-based evaluation focusing on disclosure, performance alignment, pay structure integrity, committee effectiveness, and ESG integration to promote long-term shareholder value in remuneration policies."
Stewart Investors,"**Stewart Investors Voting Policy on Remuneration**

- **General Approach:** Voting is based on judgement and principles rather than overly-prescriptive rules, considering company-specific context and circumstances.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned

- **Performance Alignment:** Remuneration should be linked to long-term performance and promote long-term stewardship.

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Not mentioned

- **Voting Considerations:**
  - Is the remuneration policy reasonable and simple?
  - Is remuneration linked to long-term performance and promoting stewardship?
  - Is the policy likely to result in excessive pay awards?

- **In summary:** Decisions on remuneration votes are made using principled judgement tailored to each company’s circumstances rather than rigid rules."
State Street Global Advisors Ltd,"**State Street Global Advisors Ltd Voting Policy on Remuneration**

- **General Approach:** Executive compensation should have a direct relationship with company long-term performance. Boards are responsible for setting appropriate executive pay levels to maximize long-term shareholder value.
- **Salary Caps and Bonuses:** Not mentioned
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned
- **Performance Alignment:** Considerations include vesting periods, length of performance targets, and mix of performance, time, and options-based stock units.
- **Clawbacks:** Not mentioned
- **ESG-Based Remuneration:** Not mentioned
- **Voting Considerations:**
  - Adequate disclosure of remuneration elements, peer benchmarking, and pay mix alignment with corporate strategy and performance.
  - Opposition to remuneration reports where pay appears misaligned with shareholder interests.
  - Possible vote against compensation committee members if remuneration concerns persist or shareholder feedback is ignored.
- **In summary:** State Street Global Advisors emphasizes alignment of executive pay with long-term company performance and shareholder interests, using remuneration disclosure and responsiveness to shareholder feedback as key voting criteria."
State Retirement & Pension System of Maryland,"**State Retirement & Pension System of Maryland Voting Policy on Remuneration**

- **General Approach:** Executive compensation programs must align with long-term interests of shareholders, reward superior performance against well-defined targets, be transparent, and combine cash and equity with encouraged direct ownership. All compensation proposals are reviewed case-by-case.

- **Salary Caps and Bonuses:** Compensation increases for CIO and Investment Division staff may not exceed 10% per fiscal year. Financial incentives to CIO and eligible staff may not exceed 33% of compensation. Special retirement arrangements must be reasonable and consistent with general workforce programs.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Vote against equity plans with exercise prices below 100% market value at grant or repricing of out-of-the-money options. Vote against excessive ESOP shares (generally >5% of outstanding shares). Shareholder approval required for all equity-based compensation plans including for directors. Vote case-by-case on equity plans considering plan cost, features, and grant practices.

- **Performance Alignment:** Compensation must meet or exceed objective performance benchmarks (e.g., fund returns relative to policy benchmarks with allowance for acceptable underperformance like 95% of market over three years). Financial incentives use performance metrics such as 3-year policy benchmark, 5-year actuarial assumed return, and asset class benchmarks. Retention through vesting or holding periods for director compensation is required. Stock ownership guidelines should be meaningful, e.g., for CEO at least 10x base salary.

- **Clawbacks:** Supports clawback policies for bonuses and equity in cases of financial restatements due to fraud. Vote case-by-case considering coverage, severity, recurrence, and board discretion in recovery policies. Generally vote for clawback proposals targeting fraud-related payments.

- **ESG-Based Remuneration:** Vote case-by-case on linking executive pay to ESG factors considering relevance, violations, committee independence, pay levels, and company financial performance. ESG factors are integrated as material risks in investment decisions but must not sacrifice returns or increase risks.

- **Voting Considerations:**
  - Alignment of CEO pay with company performance and presence of problematic pay practices.
  - Board and compensation committee composition and responsiveness to shareholders.
  - Transparency and adequacy of disclosure regarding pay programs and performance targets.

- **In summary:** Remuneration proposals are evaluated on a case-by-case basis emphasizing alignment with long-term performance, robust disclosure, appropriate performance metrics, shareholder approval for equity plans, and consideration of clawbacks and ESG factors consistent with fiduciary duties."
Swedbank Robur Fonder AB,"**Swedbank Robur Fonder AB Voting Policy on Remuneration**

- **General Approach:** Swedbank Robur aims for well-balanced remuneration policies aligned with company circumstances, approved by the General Meeting, with allowance for variable components only if clearly justified. Non-executive Board members shall not participate in employee share-related incentive programs.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Incentive Programs must be reasonable and based on clearly defined quantitative and transparent goals. Share-related incentive programs should promote long-term shareholder value and ownership. The total dilution cap from authorizations including incentive programs should be considered and justified by the Board. Authorizations for share issues should be limited to a maximum of 10% of outstanding shares.

- **Performance Alignment:** Allotment in Incentive Programs should be linked to performance involving risk and achievement of substantial quantitative goals communicated in advance. Remuneration shall be less or none if performance is not delivered.

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Not mentioned

- **Voting Considerations:**
  - Insufficient information on executive compensation and incentive programs structure, evaluation, and transparency will lead to abstain or voting against proposals.
  - Variable board fees are only accepted if specifically justified and must not compromise board control.
  - Extensive shareholder information on incentive programs’ structure, dilution, costs, and evaluations prior to the General Meeting is required.

- **In summary:** Swedbank Robur supports balanced, transparent, and performance-based remuneration policies that protect shareholder interests and limit dilution."
TT International,"**TT International Voting Policy on Remuneration**

- **General Approach:** Not mentioned  
- **Salary Caps and Bonuses:** Not mentioned  
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned  
- **Performance Alignment:** Not mentioned  
- **Clawbacks:** Not mentioned  
- **ESG-Based Remuneration:** ESG issues are fully integrated into investment and engagement processes; ESG matters are considered alongside financial and strategic issues.  
- **Voting Considerations:**
  - Voting decisions are ultimately the portfolio managers’ responsibility, made in consultation with proxy voting team.  
  - Voting may express views if the company is not taking adequate action on systemic sustainability risks.  
  - The ESG Committee oversees voting policy and recommends process improvements.  
- **In summary:** Voting on remuneration and related matters is not explicitly detailed, but ESG considerations and sustainability risks influence voting decisions through portfolio managers and the ESG Committee."
Teacher Retirement System of Texas,"**Teacher Retirement System of Texas Voting Policy on Remuneration**

- **General Approach:** TRS votes proxies prudently to maximize long-term economic benefits of pension plan participants and beneficiaries, generally following recommendations of the Proxy Advisor unless the Board determines a different vote is in the best economic interests of TRS.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned

- **Performance Alignment:** Not mentioned

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Not mentioned

- **Voting Considerations:**
  - Votes generally follow Proxy Advisor recommendations unless Board directs otherwise in TRS’s best economic interest.
  - Proxy voting records and exceptions to recommendations must be maintained and reported.
  - Loaned securities are recalled for voting only if proxy voting interest clearly outweighs lending interest.

- **In summary:** TRS follows a fiduciary, economically focused proxy voting approach relying on an independent Proxy Advisor and Board oversight to maximize long-term pension plan returns."
"T. Rowe Price Associates, Inc","**T. Rowe Price Associates, Inc Voting Policy on Remuneration**

- **General Approach:** Votes on compensation matters are assessed case-by-case considering the company’s strategy, performance, industry, size, and location to support compensation aligned with long-term shareholder interests and clearly disclosed.

- **Salary Caps and Bonuses:** Not mentioned.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Evaluate equity plans case-by-case based on number of shares, growth characteristics, exercise price discounts, administration, performance and vesting criteria, repricing policy (generally oppose repricing underwater options without shareholder approval), and distribution breadth; oppose excessively costly or problematic plans including evergreen provisions; no explicit numeric dilution limits stated.

- **Performance Alignment:** Require performance conditions for all variable pay elements to align with company strategic objectives; vesting and holding periods should conform to local best practice; ESG metrics included must be material and quantifiable; pay-performance alignment is analyzed quantitatively and qualitatively.

- **Clawbacks:** Not mentioned.

- **ESG-Based Remuneration:** Support inclusion of ESG metrics if material and quantifiable; case-by-case assessment of compensation programs reflecting social equity considerations in Impact strategies; shareholder proposals on ESG disclosures and practices are evaluated case-by-case.

- **Voting Considerations:**
  - Oppose Compensation Committee members who approve repricing of underwater options without shareholder approval, poor compensation practices, or excessive executive compensation/severance.
  - Oppose equity plans with problematic features, excessive cost, or overall problematic compensation practices.
  - For “Say on Pay” votes, apply a screening process considering pay/performance alignment, pay practices, external recommendations, and absolute pay level versus peers; qualitative review and engagement follow when concerns arise.

- **In summary:** T. Rowe Price takes a rigorous, case-by-case approach to remuneration voting, focusing on alignment with long-term shareholder interests, transparency, and appropriate performance linkage while incorporating ESG considerations where relevant."
Teachers Retirement System of the State of Kentucky,"**Teachers Retirement System of the State of Kentucky Voting Policy on Remuneration**

- **General Approach:** TRS votes solely in the best interest of members using only pecuniary factors, generally supporting company management.
- **Salary Caps and Bonuses:** Not mentioned
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned
- **Performance Alignment:** Not mentioned
- **Clawbacks:** Not mentioned
- **ESG-Based Remuneration:** Not mentioned
- **Voting Considerations:**
  - Votes are cast in alignment with Kentucky law (KRS 161.430).
  - TRS shares generally support company management.
  - The CIO may consult with others and may encourage similar votes or sponsor shareholder resolutions on critical issues.
- **In summary:** TRS bases remuneration voting decisions strictly on financial interests and statutory requirements, typically supporting management recommendations."
